"uniqueID";"HHID";"Listing.number";"Date.of.baseline";"Date.of.phone.distribution";"Date.of.withdrawl.or.move"
"085_2014-06-01";85;"392";"01.06.14";"03.06.14";"30.08.14"
"085_2014-08-28";85;"392";"28.08.14";"20.09.14";""
"195_2014-11-07";195;"494";"07.11.14";"10.12.14";"07.02..15"
"195_2015-03-23";195;"494";"23.03.15";"29.04.15";""
